date,temperature_2m,relative_humidity_2m,precipitation,rain,showers,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m
2025-09-25 12:00:00+00:00,16.706501,77.0,0.0,0.0,0.0,0.01,0.43776262,8.311245,10.00256,8.311245,7.2359104,252.3498,210.25635,197.6502,185.7105,17.28
2025-09-25 13:00:00+00:00,16.5565,78.0,0.0,0.0,0.0,0.01,0.41476166,8.311245,9.227524,7.9526596,7.2805495,252.3498,200.55612,185.19434,171.46931,17.28
2025-09-25 14:00:00+00:00,16.3065,79.0,0.0,0.0,0.0,0.01,0.38966894,8.311245,9.028754,7.6367526,6.87779,252.3498,203.49858,188.13002,173.99109,17.64
2025-09-25 15:00:00+00:00,16.0565,80.0,0.0,0.0,0.0,0.01,0.36525297,8.654986,9.19939,7.5170207,6.4799995,253.0724,210.57915,196.69933,180.0,17.64
2025-09-25 16:00:00+00:00,16.0065,80.0,0.0,0.0,0.0,0.01,0.36409187,8.766573,10.1887,8.311245,7.5942073,250.82089,212.00534,197.6502,185.44025,18.359999
2025-09-25 17:00:00+00:00,17.5565,77.0,0.0,0.0,0.0,0.03,0.46190476,8.557102,11.304229,9.659814,8.557102,255.37909,217.23491,206.56499,194.62091,19.08
2025-09-25 18:00:00+00:00,22.0065,69.0,0.0,0.0,0.0,0.09,0.8199769,3.6179552,8.707238,8.707238,8.707238,174.2895,172.87508,172.87508,172.87508,17.64
2025-09-25 19:00:00+00:00,22.706501,70.0,0.0,0.0,0.0,0.22,0.8279244,8.707237,10.685391,10.883676,10.799999,119.74479,122.61923,124.21575,126.86998,21.24
2025-09-25 20:00:00+00:00,23.6565,67.0,0.0,0.0,0.0,0.27,0.96442795,9.983106,12.413477,12.287555,12.4811535,115.64096,119.53869,121.82741,123.23173,24.119999
2025-09-25 21:00:00+00:00,24.5565,63.0,0.0,0.0,0.0,0.29000002,1.1412467,12.57426,15.941944,16.263872,16.1198,113.62939,115.40768,117.69938,119.42737,29.88
2025-09-25 22:00:00+00:00,24.706501,61.0,0.0,0.0,0.0,0.24,1.2137846,14.693999,20.26899,20.969807,21.096123,120.963684,123.407845,124.50858,126.674446,34.92
2025-09-25 23:00:00+00:00,25.4065,57.0,0.0,0.0,0.0,0.22,1.3952167,14.77755,20.592503,21.252197,21.710716,124.07724,126.46933,128.8114,130.29207,35.28
2025-09-26 00:00:00+00:00,25.956501,54.0,0.0,0.0,0.0,0.22,1.5419943,15.077082,20.592503,21.313093,21.479664,123.310646,126.46933,127.45065,129.55963,35.64
2025-09-26 01:00:00+00:00,25.3065,57.0,0.0,0.0,0.0,0.20000002,1.3869704,14.77755,21.313093,21.986542,21.94524,124.07724,127.45065,129.68541,131.00899,35.28
2025-09-26 02:00:00+00:00,24.4065,62.0,0.0,0.0,0.0,0.13,1.1616675,13.104198,19.914215,20.633371,20.87379,127.18479,130.60121,132.8789,135.0001,34.2
2025-09-26 03:00:00+00:00,23.206501,69.0,0.0,0.0,0.0,0.06,0.8817532,10.44,17.072504,17.884428,18.723461,133.60289,137.56381,139.89915,142.02834,29.519999
2025-09-26 04:00:00+00:00,22.2565,75.0,0.0,0.0,0.0,0.03,0.67132545,7.9932966,14.512064,15.617529,15.978484,144.16226,150.2552,154.02567,157.47939,22.68
2025-09-26 05:00:00+00:00,21.0565,81.0,0.0,0.0,0.0,0.02,0.47416878,5.3517847,13.1041975,15.141414,15.893093,160.34608,159.07542,161.99574,166.9081,16.919998
2025-09-26 06:00:00+00:00,20.5565,83.0,0.0,0.0,0.0,0.01,0.41142392,5.6920996,14.205182,16.299694,16.981165,198.43504,188.74608,186.3401,184.86443,11.879999
2025-09-26 07:00:00+00:00,20.0565,83.0,0.0,0.0,0.0,0.01,0.39894545,5.692099,15.379206,16.418526,16.808569,214.69522,200.55612,195.25517,189.86574,11.5199995
2025-09-26 08:00:00+00:00,19.5065,81.0,0.0,0.0,0.0,0.01,0.43097854,6.1305785,15.463246,16.279802,17.163355,229.76372,204.77512,198.03438,189.65982,12.24
